tarih,istanbul_turkiye,yeni_yeni_olmayan_konut,fiyat_endeksi
2010-01-01,İstanbul,Yeni Konut,35.9
2010-01-01,İstanbul,Yeni Olmayan Konut,35.9
2010-01-01,Türkiye,Yeni Konut,44.9
2010-01-01,Türkiye,Yeni Olmayan Konut,45.3
2010-02-01,İstanbul,Yeni Konut,36.6
2010-02-01,İstanbul,Yeni Olmayan Konut,36.1
2010-02-01,Türkiye,Yeni Konut,45.3
2010-02-01,Türkiye,Yeni Olmayan Konut,45.5
2010-03-01,İstanbul,Yeni Konut,37.4
2010-03-01,İstanbul,Yeni Olmayan Konut,36.3
2010-03-01,Türkiye,Yeni Konut,45.7
2010-03-01,Türkiye,Yeni Olmayan Konut,46.0
2010-04-01,İstanbul,Yeni Konut,38.0
2010-04-01,İstanbul,Yeni Olmayan Konut,36.7
2010-04-01,Türkiye,Yeni Konut,45.9
2010-04-01,Türkiye,Yeni Olmayan Konut,46.3
2010-05-01,İstanbul,Yeni Konut,38.0
2010-05-01,İstanbul,Yeni Olmayan Konut,37.1
2010-05-01,Türkiye,Yeni Konut,46.1
2010-05-01,Türkiye,Yeni Olmayan Konut,46.6
2010-06-01,İstanbul,Yeni Konut,37.6
2010-06-01,İstanbul,Yeni Olmayan Konut,37.0
2010-06-01,Türkiye,Yeni Konut,46.2
2010-06-01,Türkiye,Yeni Olmayan Konut,46.7
2010-07-01,İstanbul,Yeni Konut,37.3
2010-07-01,İstanbul,Yeni Olmayan Konut,37.4
2010-07-01,Türkiye,Yeni Konut,46.1
2010-07-01,Türkiye,Yeni Olmayan Konut,46.8
2010-08-01,İstanbul,Yeni Konut,38.1
2010-08-01,İstanbul,Yeni Olmayan Konut,37.5
2010-08-01,Türkiye,Yeni Konut,46.5
2010-08-01,Türkiye,Yeni Olmayan Konut,46.9
2010-09-01,İstanbul,Yeni Konut,38.8
2010-09-01,İstanbul,Yeni Olmayan Konut,37.7
2010-09-01,Türkiye,Yeni Konut,46.6
2010-09-01,Türkiye,Yeni Olmayan Konut,47.0
2010-10-01,İstanbul,Yeni Konut,39.1
2010-10-01,İstanbul,Yeni Olmayan Konut,37.9
2010-10-01,Türkiye,Yeni Konut,47.0
2010-10-01,Türkiye,Yeni Olmayan Konut,47.2
2010-11-01,İstanbul,Yeni Konut,39.8
2010-11-01,İstanbul,Yeni Olmayan Konut,38.2
2010-11-01,Türkiye,Yeni Konut,47.4
2010-11-01,Türkiye,Yeni Olmayan Konut,47.4
2010-12-01,İstanbul,Yeni Konut,40.0
2010-12-01,İstanbul,Yeni Olmayan Konut,38.9
2010-12-01,Türkiye,Yeni Konut,48.0
2010-12-01,Türkiye,Yeni Olmayan Konut,48.1
2011-01-01,İstanbul,Yeni Konut,39.7
2011-01-01,İstanbul,Yeni Olmayan Konut,39.0
2011-01-01,Türkiye,Yeni Konut,47.7
2011-01-01,Türkiye,Yeni Olmayan Konut,48.3
2011-02-01,İstanbul,Yeni Konut,40.1
2011-02-01,İstanbul,Yeni Olmayan Konut,39.4
2011-02-01,Türkiye,Yeni Konut,48.5
2011-02-01,Türkiye,Yeni Olmayan Konut,48.8
2011-03-01,İstanbul,Yeni Konut,40.0
2011-03-01,İstanbul,Yeni Olmayan Konut,39.7
2011-03-01,Türkiye,Yeni Konut,48.5
2011-03-01,Türkiye,Yeni Olmayan Konut,49.1
2011-04-01,İstanbul,Yeni Konut,40.8
2011-04-01,İstanbul,Yeni Olmayan Konut,40.0
2011-04-01,Türkiye,Yeni Konut,48.9
2011-04-01,Türkiye,Yeni Olmayan Konut,49.5
2011-05-01,İstanbul,Yeni Konut,41.1
2011-05-01,İstanbul,Yeni Olmayan Konut,40.5
2011-05-01,Türkiye,Yeni Konut,49.0
2011-05-01,Türkiye,Yeni Olmayan Konut,49.9
2011-06-01,İstanbul,Yeni Konut,41.2
2011-06-01,İstanbul,Yeni Olmayan Konut,40.5
2011-06-01,Türkiye,Yeni Konut,49.1
2011-06-01,Türkiye,Yeni Olmayan Konut,50.1
2011-07-01,İstanbul,Yeni Konut,41.2
2011-07-01,İstanbul,Yeni Olmayan Konut,40.7
2011-07-01,Türkiye,Yeni Konut,49.2
2011-07-01,Türkiye,Yeni Olmayan Konut,50.3
2011-08-01,İstanbul,Yeni Konut,41.2
2011-08-01,İstanbul,Yeni Olmayan Konut,40.8
2011-08-01,Türkiye,Yeni Konut,49.3
2011-08-01,Türkiye,Yeni Olmayan Konut,50.3
2011-09-01,İstanbul,Yeni Konut,41.8
2011-09-01,İstanbul,Yeni Olmayan Konut,41.5
2011-09-01,Türkiye,Yeni Konut,50.0
2011-09-01,Türkiye,Yeni Olmayan Konut,50.8
2011-10-01,İstanbul,Yeni Konut,42.2
2011-10-01,İstanbul,Yeni Olmayan Konut,41.8
2011-10-01,Türkiye,Yeni Konut,50.4
2011-10-01,Türkiye,Yeni Olmayan Konut,51.0
2011-11-01,İstanbul,Yeni Konut,42.5
2011-11-01,İstanbul,Yeni Olmayan Konut,42.1
2011-11-01,Türkiye,Yeni Konut,50.5
2011-11-01,Türkiye,Yeni Olmayan Konut,51.3
2011-12-01,İstanbul,Yeni Konut,42.6
2011-12-01,İstanbul,Yeni Olmayan Konut,42.6
2011-12-01,Türkiye,Yeni Konut,50.5
2011-12-01,Türkiye,Yeni Olmayan Konut,51.5
2012-01-01,İstanbul,Yeni Konut,42.9
2012-01-01,İstanbul,Yeni Olmayan Konut,43.0
2012-01-01,Türkiye,Yeni Konut,50.9
2012-01-01,Türkiye,Yeni Olmayan Konut,52.0
2012-02-01,İstanbul,Yeni Konut,43.7
2012-02-01,İstanbul,Yeni Olmayan Konut,43.8
2012-02-01,Türkiye,Yeni Konut,51.7
2012-02-01,Türkiye,Yeni Olmayan Konut,52.7
2012-03-01,İstanbul,Yeni Konut,44.3
2012-03-01,İstanbul,Yeni Olmayan Konut,44.1
2012-03-01,Türkiye,Yeni Konut,52.4
2012-03-01,Türkiye,Yeni Olmayan Konut,53.1
2012-04-01,İstanbul,Yeni Konut,44.8
2012-04-01,İstanbul,Yeni Olmayan Konut,44.6
2012-04-01,Türkiye,Yeni Konut,52.9
2012-04-01,Türkiye,Yeni Olmayan Konut,53.7
2012-05-01,İstanbul,Yeni Konut,45.0
2012-05-01,İstanbul,Yeni Olmayan Konut,44.8
2012-05-01,Türkiye,Yeni Konut,53.4
2012-05-01,Türkiye,Yeni Olmayan Konut,54.4
2012-06-01,İstanbul,Yeni Konut,45.9
2012-06-01,İstanbul,Yeni Olmayan Konut,45.2
2012-06-01,Türkiye,Yeni Konut,53.9
2012-06-01,Türkiye,Yeni Olmayan Konut,54.8
2012-07-01,İstanbul,Yeni Konut,46.6
2012-07-01,İstanbul,Yeni Olmayan Konut,45.5
2012-07-01,Türkiye,Yeni Konut,54.3
2012-07-01,Türkiye,Yeni Olmayan Konut,55.2
2012-08-01,İstanbul,Yeni Konut,47.5
2012-08-01,İstanbul,Yeni Olmayan Konut,46.0
2012-08-01,Türkiye,Yeni Konut,55.0
2012-08-01,Türkiye,Yeni Olmayan Konut,55.4
2012-09-01,İstanbul,Yeni Konut,47.9
2012-09-01,İstanbul,Yeni Olmayan Konut,46.3
2012-09-01,Türkiye,Yeni Konut,55.1
2012-09-01,Türkiye,Yeni Olmayan Konut,55.5
2012-10-01,İstanbul,Yeni Konut,48.2
2012-10-01,İstanbul,Yeni Olmayan Konut,46.5
2012-10-01,Türkiye,Yeni Konut,55.4
2012-10-01,Türkiye,Yeni Olmayan Konut,55.8
2012-11-01,İstanbul,Yeni Konut,48.6
2012-11-01,İstanbul,Yeni Olmayan Konut,46.8
2012-11-01,Türkiye,Yeni Konut,55.7
2012-11-01,Türkiye,Yeni Olmayan Konut,56.0
2012-12-01,İstanbul,Yeni Konut,49.0
2012-12-01,İstanbul,Yeni Olmayan Konut,47.0
2012-12-01,Türkiye,Yeni Konut,56.4
2012-12-01,Türkiye,Yeni Olmayan Konut,56.4
2013-01-01,İstanbul,Yeni Konut,49.5
2013-01-01,İstanbul,Yeni Olmayan Konut,47.7
2013-01-01,Türkiye,Yeni Konut,56.4
